Territorial_Authority,Anzsoc_Division,Total_Victimisations,Price,Total_Population,School_Type,School_Count
Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Special School,1
Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Teen Parent Unit,1
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Activity Centre,1
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Composite,4
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Contributing,15
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Full Primary,23
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Intermediate,3
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Secondary (Year 7-15),4
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Secondary (Year 9-15),7
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Special School,1
Hastings District,Sexual Assault and Related Offences,71,765170,90600,Teen Parent Unit,1
Hastings District,Theft and Related Offences,1723,765170,90600,Activity Centre,1
Hastings District,Theft and Related Offences,1723,765170,90600,Composite,4
Hastings District,Theft and Related Offences,1723,765170,90600,Contributing,15
Hastings District,Theft and Related Offences,1723,765170,90600,Full Primary,23
Hastings District,Theft and Related Offences,1723,765170,90600,Intermediate,3
Hastings District,Theft and Related Offences,1723,765170,90600,Secondary (Year 7-15),4
Hastings District,Theft and Related Offences,1723,765170,90600,Secondary (Year 9-15),7
Hastings District,Theft and Related Offences,1723,765170,90600,Special School,1
Hastings District,Theft and Related Offences,1723,765170,90600,Teen Parent Unit,1
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Activity Centre,1
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Composite,4
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Contributing,15
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Full Primary,23
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Intermediate,3
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Secondary (Year 7-15),4
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Secondary (Year 9-15),7
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Special School,1
Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Teen Parent Unit,1
Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Contributing,4
Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Full Primary,15
Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Secondary (Year 7-15),1
Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Secondary (Year 9-15),2
Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Special School,1
Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Contributing,4
Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Full Primary,15
Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Secondary (Year 7-15),1
Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Secondary (Year 9-15),2
Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Special School,1
Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Contributing,4
Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Full Primary,15
Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Secondary (Year 7-15),1
Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Secondary (Year 9-15),2
Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Special School,1
Hauraki District,Theft and Related Offences,313,631049,22200,Contributing,4
Hauraki District,Theft and Related Offences,313,631049,22200,Full Primary,15
Hauraki District,Theft and Related Offences,313,631049,22200,Secondary (Year 7-15),1
Hauraki District,Theft and Related Offences,313,631049,22200,Secondary (Year 9-15),2
Hauraki District,Theft and Related Offences,313,631049,22200,Special School,1
Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Contributing,4
Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Full Primary,15
Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Secondary (Year 7-15),1
Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Secondary (Year 9-15),2
Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Special School,1
Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Contributing,3
Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Full Primary,14
Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Intermediate,1
Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Secondary (Year 9-15),3
Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Teen Parent Unit,1
Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Contributing,3
Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Full Primary,14
Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Intermediate,1
Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Secondary (Year 9-15),3
Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Teen Parent Unit,1
Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Contributing,3
Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Full Primary,14
Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Intermediate,1
Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Secondary (Year 9-15),3
Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Teen Parent Unit,1
Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Contributing,3
Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Full Primary,14
Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Intermediate,1
Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Secondary (Year 9-15),3
Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Teen Parent Unit,1
Horowhenua District,Theft and Related Offences,717,551960,37000,Contributing,3
Horowhenua District,Theft and Related Offences,717,551960,37000,Full Primary,14
Horowhenua District,Theft and Related Offences,717,551960,37000,Intermediate,1
Horowhenua District,Theft and Related Offences,717,551960,37000,Secondary (Year 9-15),3
Horowhenua District,Theft and Related Offences,717,551960,37000,Teen Parent Unit,1
Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Contributing,3
Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Full Primary,14
Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Intermediate,1
Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Secondary (Year 9-15),3
Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Teen Parent Unit,1
Hurunui District,Acts Intended to Cause Injury,33,624404,13700,Composite,3
Hurunui District,Acts Intended to Cause Injury,33,624404,13700,Contributing,2
Hurunui District,Acts Intended to Cause Injury,33,624404,13700,Full Primary,8
Hurunui District,"Robbery, Extortion and Related Offences",3,624404,13700,Composite,3
Hurunui District,"Robbery, Extortion and Related Offences",3,624404,13700,Contributing,2
Hurunui District,"Robbery, Extortion and Related Offences",3,624404,13700,Full Primary,8
Hurunui District,Sexual Assault and Related Offences,10,624404,13700,Composite,3
Hurunui District,Sexual Assault and Related Offences,10,624404,13700,Contributing,2
Hurunui District,Sexual Assault and Related Offences,10,624404,13700,Full Primary,8
Hurunui District,Theft and Related Offences,81,624404,13700,Composite,3
Hurunui District,Theft and Related Offences,81,624404,13700,Contributing,2
Hurunui District,Theft and Related Offences,81,624404,13700,Full Primary,8
Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",61,624404,13700,Composite,3
Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",61,624404,13700,Contributing,2
Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",61,624404,13700,Full Primary,8
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Activity Centre,1
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Composite,1
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Contributing,16
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Full Primary,6
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Secondary (Year 7-15),5
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Special School,1
Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Teen Parent Unit,1
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Activity Centre,1
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Composite,1
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Contributing,16
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Full Primary,6
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Secondary (Year 7-15),5
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Special School,1
Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Teen Parent Unit,1
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Activity Centre,1
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Composite,1
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Contributing,16
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Full Primary,6
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Secondary (Year 7-15),5
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Special School,1
Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Teen Parent Unit,1
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Activity Centre,1
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Composite,1
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Contributing,16
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Full Primary,6
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Secondary (Year 7-15),5
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Special School,1
Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Teen Parent Unit,1
Invercargill City,Theft and Related Offences,1014,456153,56800,Activity Centre,1
Invercargill City,Theft and Related Offences,1014,456153,56800,Composite,1
Invercargill City,Theft and Related Offences,1014,456153,56800,Contributing,16
Invercargill City,Theft and Related Offences,1014,456153,56800,Full Primary,6
Invercargill City,Theft and Related Offences,1014,456153,56800,Secondary (Year 7-15),5
Invercargill City,Theft and Related Offences,1014,456153,56800,Special School,1
Invercargill City,Theft and Related Offences,1014,456153,56800,Teen Parent Unit,1
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Activity Centre,1
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Composite,1
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Contributing,16
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Full Primary,6
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Secondary (Year 7-15),5
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Special School,1
Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Teen Parent Unit,1
Kaikoura District,Acts Intended to Cause Injury,26,566219,4160,Contributing,2
Kaikoura District,Acts Intended to Cause Injury,26,566219,4160,Full Primary,2
Kaikoura District,Acts Intended to Cause Injury,26,566219,4160,Secondary (Year 7-15),1
Kaikoura District,"Robbery, Extortion and Related Offences",1,566219,4160,Contributing,2
Kaikoura District,"Robbery, Extortion and Related Offences",1,566219,4160,Full Primary,2
Kaikoura District,"Robbery, Extortion and Related Offences",1,566219,4160,Secondary (Year 7-15),1
Kaikoura District,Sexual Assault and Related Offences,3,566219,4160,Contributing,2
Kaikoura District,Sexual Assault and Related Offences,3,566219,4160,Full Primary,2
Kaikoura District,Sexual Assault and Related Offences,3,566219,4160,Secondary (Year 7-15),1
Kaikoura District,Theft and Related Offences,63,566219,4160,Contributing,2
Kaikoura District,Theft and Related Offences,63,566219,4160,Full Primary,2
Kaikoura District,Theft and Related Offences,63,566219,4160,Secondary (Year 7-15),1
Kaikoura District,"Unlawful Entry With Intent/Burglary, Break and Enter",36,566219,4160,Contributing,2
Kaikoura District,"Unlawful Entry With Intent/Burglary, Break and Enter",36,566219,4160,Full Primary,2
Kaikoura District,"Unlawful Entry With Intent/Burglary, Break and Enter",36,566219,4160,Secondary (Year 7-15),1
Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Composite,1
Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Contributing,6
Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Full Primary,12
Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Intermediate,1
Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Secondary (Year 7-15),2
Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Secondary (Year 9-15),1
Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Composite,1
Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Contributing,6
Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Full Primary,12
Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Intermediate,1
Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Secondary (Year 7-15),2
Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Secondary (Year 9-15),1
Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Composite,1
Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Contributing,6
Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Full Primary,12
Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Intermediate,1
Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Secondary (Year 7-15),2
Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Secondary (Year 9-15),1
Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Composite,1
Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Contributing,6
Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Full Primary,12
Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Intermediate,1
Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Secondary (Year 7-15),2
Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Secondary (Year 9-15),1
Kaipara District,Theft and Related Offences,269,818262,27200,Composite,1
Kaipara District,Theft and Related Offences,269,818262,27200,Contributing,6
Kaipara District,Theft and Related Offences,269,818262,27200,Full Primary,12
Kaipara District,Theft and Related Offences,269,818262,27200,Intermediate,1
Kaipara District,Theft and Related Offences,269,818262,27200,Secondary (Year 7-15),2
Kaipara District,Theft and Related Offences,269,818262,27200,Secondary (Year 9-15),1
Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Composite,1
Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Contributing,6
Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Full Primary,12
Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Intermediate,1
Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Secondary (Year 7-15),2
Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Secondary (Year 9-15),1
Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Composite,2
Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Contributing,2
Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Full Primary,13
Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Secondary (Year 7-15),1
Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Secondary (Year 9-15),2
Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Composite,2
Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Contributing,2
Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Full Primary,13
Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Secondary (Year 7-15),1
Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Secondary (Year 9-15),2
Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Composite,2
Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Contributing,2
Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Full Primary,13
Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Secondary (Year 7-15),1
Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Secondary (Year 9-15),2
Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Composite,2
Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Contributing,2
Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Full Primary,13
Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Secondary (Year 7-15),1
Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Secondary (Year 9-15),2
Kapiti Coast District,Theft and Related Offences,811,805926,57600,Composite,2
Kapiti Coast District,Theft and Related Offences,811,805926,57600,Contributing,2
Kapiti Coast District,Theft and Related Offences,811,805926,57600,Full Primary,13
Kapiti Coast District,Theft and Related Offences,811,805926,57600,Secondary (Year 7-15),1
Kapiti Coast District,Theft and Related Offences,811,805926,57600,Secondary (Year 9-15),2
Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Composite,2
Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Contributing,2
Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Full Primary,13
Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Secondary (Year 7-15),1
Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Secondary (Year 9-15),2
Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Composite,1
Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Contributing,2
Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Secondary (Year 7-15),1
Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Teen Parent Unit,1
Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Composite,1
Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Contributing,2
Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Secondary (Year 7-15),1
Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Teen Parent Unit,1
Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Composite,1
Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Contributing,2
Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Secondary (Year 7-15),1
Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Teen Parent Unit,1
Kawerau District,Theft and Related Offences,160,389679,7760,Composite,1
Kawerau District,Theft and Related Offences,160,389679,7760,Contributing,2
Kawerau District,Theft and Related Offences,160,389679,7760,Secondary (Year 7-15),1
Kawerau District,Theft and Related Offences,160,389679,7760,Teen Parent Unit,1
Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Composite,1
Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Contributing,2
Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Secondary (Year 7-15),1
Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Teen Parent Unit,1
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Activity Centre,1
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Composite,4
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Contributing,21
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Full Primary,16
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Intermediate,4
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Secondary (Year 7-15),2
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Secondary (Year 9-15),5
Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Special School,1
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Activity Centre,1
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Composite,4
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Contributing,21
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Full Primary,16
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Intermediate,4
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Secondary (Year 7-15),2
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Secondary (Year 9-15),5
Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Special School,1
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Activity Centre,1
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Composite,4
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Contributing,21
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Full Primary,16
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Intermediate,4
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Secondary (Year 7-15),2
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Secondary (Year 9-15),5
Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Special School,1
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Activity Centre,1
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Composite,4
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Contributing,21
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Full Primary,16
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Intermediate,4
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Secondary (Year 7-15),2
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Secondary (Year 9-15),5
Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Special School,1
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Activity Centre,1
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Composite,4
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Contributing,21
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Full Primary,16
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Intermediate,4
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Secondary (Year 7-15),2
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Secondary (Year 9-15),5
Lower Hutt City,Theft and Related Offences,3320,768115,112500,Special School,1
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Activity Centre,1
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Composite,4
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Contributing,21
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Full Primary,16
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Intermediate,4
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Secondary (Year 7-15),2
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Secondary (Year 9-15),5
Lower Hutt City,"Unlawful Entry With Intent/Burglary, Break and Enter",848,768115,112500,Special School,1
Mackenzie District,Acts Intended to Cause Injury,12,750518,5460,Composite,1
Mackenzie District,Acts Intended to Cause Injury,12,750518,5460,Contributing,3
Mackenzie District,Acts Intended to Cause Injury,12,750518,5460,Full Primary,3
Mackenzie District,Acts Intended to Cause Injury,12,750518,5460,Secondary (Year 7-15),1
Mackenzie District,"Robbery, Extortion and Related Offences",1,750518,5460,Composite,1
Mackenzie District,"Robbery, Extortion and Related Offences",1,750518,5460,Contributing,3
Mackenzie District,"Robbery, Extortion and Related Offences",1,750518,5460,Full Primary,3
Mackenzie District,"Robbery, Extortion and Related Offences",1,750518,5460,Secondary (Year 7-15),1
Mackenzie District,Sexual Assault and Related Offences,2,750518,5460,Composite,1
Mackenzie District,Sexual Assault and Related Offences,2,750518,5460,Contributing,3
Mackenzie District,Sexual Assault and Related Offences,2,750518,5460,Full Primary,3
Mackenzie District,Sexual Assault and Related Offences,2,750518,5460,Secondary (Year 7-15),1
Mackenzie District,Theft and Related Offences,34,750518,5460,Composite,1
Mackenzie District,Theft and Related Offences,34,750518,5460,Contributing,3
Mackenzie District,Theft and Related Offences,34,750518,5460,Full Primary,3
Mackenzie District,Theft and Related Offences,34,750518,5460,Secondary (Year 7-15),1
Mackenzie District,"Unlawful Entry With Intent/Burglary, Break and Enter",15,750518,5460,Composite,1
Mackenzie District,"Unlawful Entry With Intent/Burglary, Break and Enter",15,750518,5460,Contributing,3
Mackenzie District,"Unlawful Entry With Intent/Burglary, Break and Enter",15,750518,5460,Full Primary,3
Mackenzie District,"Unlawful Entry With Intent/Burglary, Break and Enter",15,750518,5460,Secondary (Year 7-15),1
Manawatu District,Acts Intended to Cause Injury,197,612575,33900,Composite,1
Manawatu District,Acts Intended to Cause Injury,197,612575,33900,Contributing,2
Manawatu District,Acts Intended to Cause Injury,197,612575,33900,Full Primary,20
Manawatu District,Acts Intended to Cause Injury,197,612575,33900,Intermediate,1
Manawatu District,Acts Intended to Cause Injury,197,612575,33900,Secondary (Year 9-15),2
Manawatu District,"Robbery, Extortion and Related Offences",13,612575,33900,Composite,1
Manawatu District,"Robbery, Extortion and Related Offences",13,612575,33900,Contributing,2
Manawatu District,"Robbery, Extortion and Related Offences",13,612575,33900,Full Primary,20
Manawatu District,"Robbery, Extortion and Related Offences",13,612575,33900,Intermediate,1
Manawatu District,"Robbery, Extortion and Related Offences",13,612575,33900,Secondary (Year 9-15),2
Manawatu District,Sexual Assault and Related Offences,12,612575,33900,Composite,1
Manawatu District,Sexual Assault and Related Offences,12,612575,33900,Contributing,2
Manawatu District,Sexual Assault and Related Offences,12,612575,33900,Full Primary,20
Manawatu District,Sexual Assault and Related Offences,12,612575,33900,Intermediate,1
Manawatu District,Sexual Assault and Related Offences,12,612575,33900,Secondary (Year 9-15),2
Manawatu District,Theft and Related Offences,514,612575,33900,Composite,1
Manawatu District,Theft and Related Offences,514,612575,33900,Contributing,2
Manawatu District,Theft and Related Offences,514,612575,33900,Full Primary,20
Manawatu District,Theft and Related Offences,514,612575,33900,Intermediate,1
Manawatu District,Theft and Related Offences,514,612575,33900,Secondary (Year 9-15),2
Manawatu District,"Unlawful Entry With Intent/Burglary, Break and Enter",174,612575,33900,Composite,1
Manawatu District,"Unlawful Entry With Intent/Burglary, Break and Enter",174,612575,33900,Contributing,2
Manawatu District,"Unlawful Entry With Intent/Burglary, Break and Enter",174,612575,33900,Full Primary,20
