X,Territorial_Authority,Anzsoc_Division,Total_Victimisations,Price,Total_Population,School_Type,School_Count
83,Hamilton City,Theft and Related Offences,6942,800437,179900,Teen Parent Unit,1
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Composite,3
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Contributing,22
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Full Primary,12
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Intermediate,4
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Restricted Composite (Year 7-10),2
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Secondary (Year 11-15),1
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Secondary (Year 7-10),1
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Secondary (Year 7-15),2
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Secondary (Year 9-15),12
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Special School,2
84,Hamilton City,"Unlawful Entry With Intent/Burglary, Break and Enter",1982,800437,179900,Teen Parent Unit,1
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Activity Centre,1
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Composite,4
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Contributing,15
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Full Primary,23
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Intermediate,3
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Secondary (Year 7-15),4
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Secondary (Year 9-15),7
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Special School,1
85,Hastings District,"Abduction, Harassment and Other Related Offences Against a Person",3,765170,90600,Teen Parent Unit,1
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Activity Centre,1
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Composite,4
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Contributing,15
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Full Primary,23
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Intermediate,3
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Secondary (Year 7-15),4
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Secondary (Year 9-15),7
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Special School,1
86,Hastings District,Acts Intended to Cause Injury,1051,765170,90600,Teen Parent Unit,1
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Activity Centre,1
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Composite,4
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Contributing,15
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Full Primary,23
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Intermediate,3
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Secondary (Year 7-15),4
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Secondary (Year 9-15),7
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Special School,1
87,Hastings District,"Robbery, Extortion and Related Offences",40,765170,90600,Teen Parent Unit,1
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Activity Centre,1
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Composite,4
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Contributing,15
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Full Primary,23
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Intermediate,3
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Secondary (Year 7-15),4
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Secondary (Year 9-15),7
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Special School,1
88,Hastings District,Sexual Assault and Related Offences,71,765170,90600,Teen Parent Unit,1
89,Hastings District,Theft and Related Offences,1723,765170,90600,Activity Centre,1
89,Hastings District,Theft and Related Offences,1723,765170,90600,Composite,4
89,Hastings District,Theft and Related Offences,1723,765170,90600,Contributing,15
89,Hastings District,Theft and Related Offences,1723,765170,90600,Full Primary,23
89,Hastings District,Theft and Related Offences,1723,765170,90600,Intermediate,3
89,Hastings District,Theft and Related Offences,1723,765170,90600,Secondary (Year 7-15),4
89,Hastings District,Theft and Related Offences,1723,765170,90600,Secondary (Year 9-15),7
89,Hastings District,Theft and Related Offences,1723,765170,90600,Special School,1
89,Hastings District,Theft and Related Offences,1723,765170,90600,Teen Parent Unit,1
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Activity Centre,1
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Composite,4
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Contributing,15
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Full Primary,23
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Intermediate,3
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Secondary (Year 7-15),4
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Secondary (Year 9-15),7
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Special School,1
90,Hastings District,"Unlawful Entry With Intent/Burglary, Break and Enter",724,765170,90600,Teen Parent Unit,1
91,Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Contributing,4
91,Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Full Primary,15
91,Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Secondary (Year 7-15),1
91,Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Secondary (Year 9-15),2
91,Hauraki District,Acts Intended to Cause Injury,168,631049,22200,Special School,1
92,Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Contributing,4
92,Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Full Primary,15
92,Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Secondary (Year 7-15),1
92,Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Secondary (Year 9-15),2
92,Hauraki District,"Robbery, Extortion and Related Offences",13,631049,22200,Special School,1
93,Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Contributing,4
93,Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Full Primary,15
93,Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Secondary (Year 7-15),1
93,Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Secondary (Year 9-15),2
93,Hauraki District,Sexual Assault and Related Offences,13,631049,22200,Special School,1
94,Hauraki District,Theft and Related Offences,313,631049,22200,Contributing,4
94,Hauraki District,Theft and Related Offences,313,631049,22200,Full Primary,15
94,Hauraki District,Theft and Related Offences,313,631049,22200,Secondary (Year 7-15),1
94,Hauraki District,Theft and Related Offences,313,631049,22200,Secondary (Year 9-15),2
94,Hauraki District,Theft and Related Offences,313,631049,22200,Special School,1
95,Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Contributing,4
95,Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Full Primary,15
95,Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Secondary (Year 7-15),1
95,Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Secondary (Year 9-15),2
95,Hauraki District,"Unlawful Entry With Intent/Burglary, Break and Enter",247,631049,22200,Special School,1
96,Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Contributing,3
96,Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Full Primary,14
96,Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Intermediate,1
96,Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Secondary (Year 9-15),3
96,Horowhenua District,"Abduction, Harassment and Other Related Offences Against a Person",4,551960,37000,Teen Parent Unit,1
97,Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Contributing,3
97,Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Full Primary,14
97,Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Intermediate,1
97,Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Secondary (Year 9-15),3
97,Horowhenua District,Acts Intended to Cause Injury,401,551960,37000,Teen Parent Unit,1
98,Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Contributing,3
98,Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Full Primary,14
98,Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Intermediate,1
98,Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Secondary (Year 9-15),3
98,Horowhenua District,"Robbery, Extortion and Related Offences",18,551960,37000,Teen Parent Unit,1
99,Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Contributing,3
99,Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Full Primary,14
99,Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Intermediate,1
99,Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Secondary (Year 9-15),3
99,Horowhenua District,Sexual Assault and Related Offences,29,551960,37000,Teen Parent Unit,1
100,Horowhenua District,Theft and Related Offences,717,551960,37000,Contributing,3
100,Horowhenua District,Theft and Related Offences,717,551960,37000,Full Primary,14
100,Horowhenua District,Theft and Related Offences,717,551960,37000,Intermediate,1
100,Horowhenua District,Theft and Related Offences,717,551960,37000,Secondary (Year 9-15),3
100,Horowhenua District,Theft and Related Offences,717,551960,37000,Teen Parent Unit,1
101,Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Contributing,3
101,Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Full Primary,14
101,Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Intermediate,1
101,Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Secondary (Year 9-15),3
101,Horowhenua District,"Unlawful Entry With Intent/Burglary, Break and Enter",311,551960,37000,Teen Parent Unit,1
102,Hurunui District,Acts Intended to Cause Injury,33,624404,13700,Composite,3
102,Hurunui District,Acts Intended to Cause Injury,33,624404,13700,Contributing,2
102,Hurunui District,Acts Intended to Cause Injury,33,624404,13700,Full Primary,8
103,Hurunui District,"Robbery, Extortion and Related Offences",3,624404,13700,Composite,3
103,Hurunui District,"Robbery, Extortion and Related Offences",3,624404,13700,Contributing,2
103,Hurunui District,"Robbery, Extortion and Related Offences",3,624404,13700,Full Primary,8
104,Hurunui District,Sexual Assault and Related Offences,10,624404,13700,Composite,3
104,Hurunui District,Sexual Assault and Related Offences,10,624404,13700,Contributing,2
104,Hurunui District,Sexual Assault and Related Offences,10,624404,13700,Full Primary,8
105,Hurunui District,Theft and Related Offences,81,624404,13700,Composite,3
105,Hurunui District,Theft and Related Offences,81,624404,13700,Contributing,2
105,Hurunui District,Theft and Related Offences,81,624404,13700,Full Primary,8
106,Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",61,624404,13700,Composite,3
106,Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",61,624404,13700,Contributing,2
106,Hurunui District,"Unlawful Entry With Intent/Burglary, Break and Enter",61,624404,13700,Full Primary,8
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Activity Centre,1
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Composite,1
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Contributing,16
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Full Primary,6
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Secondary (Year 7-15),5
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Special School,1
107,Invercargill City,"Abduction, Harassment and Other Related Offences Against a Person",9,456153,56800,Teen Parent Unit,1
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Activity Centre,1
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Composite,1
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Contributing,16
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Full Primary,6
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Secondary (Year 7-15),5
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Special School,1
108,Invercargill City,Acts Intended to Cause Injury,587,456153,56800,Teen Parent Unit,1
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Activity Centre,1
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Composite,1
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Contributing,16
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Full Primary,6
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Secondary (Year 7-15),5
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Special School,1
109,Invercargill City,"Robbery, Extortion and Related Offences",24,456153,56800,Teen Parent Unit,1
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Activity Centre,1
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Composite,1
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Contributing,16
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Full Primary,6
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Secondary (Year 7-15),5
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Special School,1
110,Invercargill City,Sexual Assault and Related Offences,48,456153,56800,Teen Parent Unit,1
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Activity Centre,1
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Composite,1
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Contributing,16
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Full Primary,6
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Secondary (Year 7-15),5
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Special School,1
111,Invercargill City,Theft and Related Offences,1014,456153,56800,Teen Parent Unit,1
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Activity Centre,1
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Composite,1
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Contributing,16
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Full Primary,6
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Secondary (Year 7-15),5
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Special School,1
112,Invercargill City,"Unlawful Entry With Intent/Burglary, Break and Enter",448,456153,56800,Teen Parent Unit,1
113,Kaikoura District,Acts Intended to Cause Injury,26,566219,4160,Contributing,2
113,Kaikoura District,Acts Intended to Cause Injury,26,566219,4160,Full Primary,2
113,Kaikoura District,Acts Intended to Cause Injury,26,566219,4160,Secondary (Year 7-15),1
114,Kaikoura District,"Robbery, Extortion and Related Offences",1,566219,4160,Contributing,2
114,Kaikoura District,"Robbery, Extortion and Related Offences",1,566219,4160,Full Primary,2
114,Kaikoura District,"Robbery, Extortion and Related Offences",1,566219,4160,Secondary (Year 7-15),1
115,Kaikoura District,Sexual Assault and Related Offences,3,566219,4160,Contributing,2
115,Kaikoura District,Sexual Assault and Related Offences,3,566219,4160,Full Primary,2
115,Kaikoura District,Sexual Assault and Related Offences,3,566219,4160,Secondary (Year 7-15),1
116,Kaikoura District,Theft and Related Offences,63,566219,4160,Contributing,2
116,Kaikoura District,Theft and Related Offences,63,566219,4160,Full Primary,2
116,Kaikoura District,Theft and Related Offences,63,566219,4160,Secondary (Year 7-15),1
117,Kaikoura District,"Unlawful Entry With Intent/Burglary, Break and Enter",36,566219,4160,Contributing,2
117,Kaikoura District,"Unlawful Entry With Intent/Burglary, Break and Enter",36,566219,4160,Full Primary,2
117,Kaikoura District,"Unlawful Entry With Intent/Burglary, Break and Enter",36,566219,4160,Secondary (Year 7-15),1
118,Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Composite,1
118,Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Contributing,6
118,Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Full Primary,12
118,Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Intermediate,1
118,Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Secondary (Year 7-15),2
118,Kaipara District,"Abduction, Harassment and Other Related Offences Against a Person",1,818262,27200,Secondary (Year 9-15),1
119,Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Composite,1
119,Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Contributing,6
119,Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Full Primary,12
119,Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Intermediate,1
119,Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Secondary (Year 7-15),2
119,Kaipara District,Acts Intended to Cause Injury,129,818262,27200,Secondary (Year 9-15),1
120,Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Composite,1
120,Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Contributing,6
120,Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Full Primary,12
120,Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Intermediate,1
120,Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Secondary (Year 7-15),2
120,Kaipara District,"Robbery, Extortion and Related Offences",9,818262,27200,Secondary (Year 9-15),1
121,Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Composite,1
121,Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Contributing,6
121,Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Full Primary,12
121,Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Intermediate,1
121,Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Secondary (Year 7-15),2
121,Kaipara District,Sexual Assault and Related Offences,15,818262,27200,Secondary (Year 9-15),1
122,Kaipara District,Theft and Related Offences,269,818262,27200,Composite,1
122,Kaipara District,Theft and Related Offences,269,818262,27200,Contributing,6
122,Kaipara District,Theft and Related Offences,269,818262,27200,Full Primary,12
122,Kaipara District,Theft and Related Offences,269,818262,27200,Intermediate,1
122,Kaipara District,Theft and Related Offences,269,818262,27200,Secondary (Year 7-15),2
122,Kaipara District,Theft and Related Offences,269,818262,27200,Secondary (Year 9-15),1
123,Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Composite,1
123,Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Contributing,6
123,Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Full Primary,12
123,Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Intermediate,1
123,Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Secondary (Year 7-15),2
123,Kaipara District,"Unlawful Entry With Intent/Burglary, Break and Enter",168,818262,27200,Secondary (Year 9-15),1
124,Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Composite,2
124,Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Contributing,2
124,Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Full Primary,13
124,Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Secondary (Year 7-15),1
124,Kapiti Coast District,"Abduction, Harassment and Other Related Offences Against a Person",2,805926,57600,Secondary (Year 9-15),2
125,Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Composite,2
125,Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Contributing,2
125,Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Full Primary,13
125,Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Secondary (Year 7-15),1
125,Kapiti Coast District,Acts Intended to Cause Injury,281,805926,57600,Secondary (Year 9-15),2
126,Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Composite,2
126,Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Contributing,2
126,Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Full Primary,13
126,Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Secondary (Year 7-15),1
126,Kapiti Coast District,"Robbery, Extortion and Related Offences",25,805926,57600,Secondary (Year 9-15),2
127,Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Composite,2
127,Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Contributing,2
127,Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Full Primary,13
127,Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Secondary (Year 7-15),1
127,Kapiti Coast District,Sexual Assault and Related Offences,24,805926,57600,Secondary (Year 9-15),2
128,Kapiti Coast District,Theft and Related Offences,811,805926,57600,Composite,2
128,Kapiti Coast District,Theft and Related Offences,811,805926,57600,Contributing,2
128,Kapiti Coast District,Theft and Related Offences,811,805926,57600,Full Primary,13
128,Kapiti Coast District,Theft and Related Offences,811,805926,57600,Secondary (Year 7-15),1
128,Kapiti Coast District,Theft and Related Offences,811,805926,57600,Secondary (Year 9-15),2
129,Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Composite,2
129,Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Contributing,2
129,Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Full Primary,13
129,Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Secondary (Year 7-15),1
129,Kapiti Coast District,"Unlawful Entry With Intent/Burglary, Break and Enter",307,805926,57600,Secondary (Year 9-15),2
130,Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Composite,1
130,Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Contributing,2
130,Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Secondary (Year 7-15),1
130,Kawerau District,Acts Intended to Cause Injury,83,389679,7760,Teen Parent Unit,1
131,Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Composite,1
131,Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Contributing,2
131,Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Secondary (Year 7-15),1
131,Kawerau District,"Robbery, Extortion and Related Offences",2,389679,7760,Teen Parent Unit,1
132,Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Composite,1
132,Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Contributing,2
132,Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Secondary (Year 7-15),1
132,Kawerau District,Sexual Assault and Related Offences,10,389679,7760,Teen Parent Unit,1
133,Kawerau District,Theft and Related Offences,160,389679,7760,Composite,1
133,Kawerau District,Theft and Related Offences,160,389679,7760,Contributing,2
133,Kawerau District,Theft and Related Offences,160,389679,7760,Secondary (Year 7-15),1
133,Kawerau District,Theft and Related Offences,160,389679,7760,Teen Parent Unit,1
134,Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Composite,1
134,Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Contributing,2
134,Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Secondary (Year 7-15),1
134,Kawerau District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,389679,7760,Teen Parent Unit,1
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Activity Centre,1
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Composite,4
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Contributing,21
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Full Primary,16
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Intermediate,4
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Secondary (Year 7-15),2
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Secondary (Year 9-15),5
135,Lower Hutt City,"Abduction, Harassment and Other Related Offences Against a Person",4,768115,112500,Special School,1
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Activity Centre,1
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Composite,4
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Contributing,21
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Full Primary,16
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Intermediate,4
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Secondary (Year 7-15),2
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Secondary (Year 9-15),5
136,Lower Hutt City,Acts Intended to Cause Injury,1121,768115,112500,Special School,1
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Activity Centre,1
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Composite,4
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Contributing,21
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Full Primary,16
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Intermediate,4
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Secondary (Year 7-15),2
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Secondary (Year 9-15),5
137,Lower Hutt City,"Robbery, Extortion and Related Offences",91,768115,112500,Special School,1
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Activity Centre,1
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Composite,4
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Contributing,21
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Full Primary,16
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Intermediate,4
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Secondary (Year 7-15),2
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Secondary (Year 9-15),5
138,Lower Hutt City,Sexual Assault and Related Offences,72,768115,112500,Special School,1
139,Lower Hutt City,Theft and Related Offences,3320,768115,112500,Activity Centre,1
139,Lower Hutt City,Theft and Related Offences,3320,768115,112500,Composite,4
139,Lower Hutt City,Theft and Related Offences,3320,768115,112500,Contributing,21
